FOLIO,CONCESIONARIO,FECHA,ANIO,MES,K_EMPRESA,EMPRESA,K_GRUPO,GRUPO,A_TOTAL_E,A_V1_E,A_V2_E,A_V3_E,A_V4_E
100418,"MEGA CABLE, S.A. DE C.V.",15AUG2013,2013,08,C378,MEGACABLE,G008,MEGACABLE-MCM,"788,385","43,471","727,604","17,310",0
100418,"MEGA CABLE, S.A. DE C.V.",15SEP2013,2013,09,C378,MEGACABLE,G008,MEGACABLE-MCM,"806,696","45,436","727,150","34,110",0
100418,"MEGA CABLE, S.A. DE C.V.",15OCT2013,2013,10,C378,MEGACABLE,G008,MEGACABLE-MCM,"817,029","44,232","690,097","82,700",0
100418,"MEGA CABLE, S.A. DE C.V.",15NOV2013,2013,11,C378,MEGACABLE,G008,MEGACABLE-MCM,"831,969","43,081","709,213","79,675",0
100418,"MEGA CABLE, S.A. DE C.V.",15DEC2013,2013,12,C378,MEGACABLE,G008,MEGACABLE-MCM,"855,730","43,109","733,563","79,058",0
100418,"MEGA CABLE, S.A. DE C.V.",15JAN2014,2014,01,C378,MEGACABLE,G008,MEGACABLE-MCM,"888,313","44,212","759,316","84,785",0
100418,"MEGA CABLE, S.A. DE C.V.",15FEB2014,2014,02,C378,MEGACABLE,G008,MEGACABLE-MCM,"907,314","45,959","764,399","96,956",0
100418,"MEGA CABLE, S.A. DE C.V.",15MAR2014,2014,03,C378,MEGACABLE,G008,MEGACABLE-MCM,"932,306","47,520","783,977","100,809",0
100418,"MEGA CABLE, S.A. DE C.V.",15APR2014,2014,04,C378,MEGACABLE,G008,MEGACABLE-MCM,"946,112","47,185","799,273","99,654",0
100418,"MEGA CABLE, S.A. DE C.V.",15MAY2014,2014,05,C378,MEGACABLE,G008,MEGACABLE-MCM,"972,430","47,015","826,197","99,218",0
100418,"MEGA CABLE, S.A. DE C.V.",15JUN2014,2014,06,C378,MEGACABLE,G008,MEGACABLE-MCM,"992,333","42,625","851,229","98,479",0
100418,"MEGA CABLE, S.A. DE C.V.",15JUL2014,2014,07,C378,MEGACABLE,G008,MEGACABLE-MCM,"1,016,681","42,113","876,838","97,727",3
100418,"MEGA CABLE, S.A. DE C.V.",15AUG2014,2014,08,C378,MEGACABLE,G008,MEGACABLE-MCM,"1,055,467","37,566","920,394","97,496",11
100418,"MEGA CABLE, S.A. DE C.V.",15SEP2014,2014,09,C378,MEGACABLE,G008,MEGACABLE-MCM,"1,089,119","37,628","953,406","98,073",12
100418,"MEGA CABLE, S.A. DE C.V.",15OCT2014,2014,10,C378,MEGACABLE,G008,MEGACABLE-MCM,"1,121,947","37,187","931,604","153,132",24
